state,city,avg_numproviders,median_numproviders,None of the above / Not working for pay,I continue to commute to work,Used to work from home and still do,"Used to commute, now work from home",I have recently been furloughed or laid-off,"Used to work from home, but now I commute",place_2000_pop
AK,Anchorage,,,12.0,7.0,1.0,6.0,1.0,0.0,
AK,Wasilla,3.0,3.0,5.0,0.0,0.0,2.0,1.0,0.0,5469
AL,Alabaster,4.0,4.0,9.0,6.0,2.0,2.0,1.0,0.0,22619
AL,Andalusia,5.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,8794
AL,Atmore,6.0,6.0,3.0,2.0,0.0,1.0,0.0,0.0,7676
AL,Auburn,8.0,8.0,4.0,4.0,2.0,2.0,0.0,0.0,42987
AL,Birmingham,6.5,6.5,36.0,30.0,5.0,13.0,5.0,2.0,242307513
AL,Calera,4.5,4.5,5.0,2.0,1.0,0.0,0.0,0.0,307979
AL,Chelsea,,,3.0,1.0,2.0,1.0,0.0,0.0,
AL,Clanton,5.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,7800
AL,Decatur,6.0,6.0,0.0,3.0,2.0,0.0,0.0,0.0,5384683
AL,Dothan,5.0,4.0,8.0,6.0,1.0,3.0,2.0,0.0,570826505
AL,Enterprise,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,20993185
AL,Eufaula,7.0,7.0,2.0,2.0,1.0,0.0,0.0,0.0,13908
AL,Florence,3.0,3.0,4.0,5.0,2.0,0.0,0.0,0.0,36264
AL,Gadsden,7.0,7.0,6.0,7.0,1.0,0.0,1.0,0.0,38978
AL,Grand Bay,,,6.0,1.0,0.0,0.0,0.0,0.0,
AL,Greenville,5.0,5.0,3.0,2.0,2.0,2.0,0.0,0.0,7228
AL,Helena,6.5,6.5,6.0,0.0,1.0,3.0,0.0,0.0,102933
AL,Hoover,6.5,6.5,6.0,2.0,2.0,7.0,0.0,0.0,4686815874
AL,Huntsville,7.5,7.5,11.0,13.0,2.0,4.0,0.0,0.0,157952264
AL,Killen,,,2.0,1.0,1.0,1.0,1.0,0.0,
AL,Madison,7.5,7.5,2.0,2.0,0.0,7.0,0.0,0.0,29190139
AL,Mobile,6.0,6.0,2.0,3.0,0.0,1.0,0.0,0.0,198915
AL,Montevallo,4.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,4825
AL,Montgomery,7.0,7.0,14.0,9.0,0.0,5.0,0.0,0.0,201568
AL,Muscle Shoals,5.0,5.0,3.0,1.0,0.0,1.0,1.0,0.0,11924
AL,Opelika,8.0,8.0,4.0,2.0,1.0,1.0,1.0,0.0,23498
AL,Opp,5.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,6607
AL,Pelham,4.0,4.0,7.0,2.0,2.0,3.0,1.0,0.0,14369
AL,Selma,4.0,4.0,3.0,2.0,0.0,1.0,2.0,0.0,20512
AL,Sheffield,5.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,9652
AL,Shelby,,,3.0,0.0,1.0,1.0,0.0,0.0,
AL,Troy,7.0,7.0,6.0,8.0,0.0,3.0,0.0,0.0,13935
AL,Tuscaloosa,7.0,7.0,4.0,2.0,0.0,3.0,1.0,0.0,77906
AL,Tuscumbia,5.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,7856
AL,Valley,6.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,9198
AL,Vestavia Hills,6.5,6.5,2.0,1.0,0.0,1.0,1.0,0.0,2445521
AR,Bella Vista,,,5.0,0.0,0.0,0.0,0.0,0.0,
AR,Conway,10.0,10.0,2.0,1.0,2.0,0.0,0.0,0.0,43167
AR,Jonesboro,8.0,8.0,5.0,0.0,1.0,0.0,0.0,0.0,55515
AR,Little Rock,14.0,14.0,15.0,7.0,4.0,5.0,1.0,0.0,183133
AR,Mountain Home,9.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,11012
AR,Texarkana,4.0,4.0,9.0,5.0,0.0,3.0,1.0,0.0,26448
AZ,Buckeye,,,2.0,1.0,1.0,1.0,0.0,1.0,
AZ,Casas Adobes,,,5.0,1.0,1.0,0.0,0.0,0.0,
AZ,Catalina Foothills,,,4.0,1.0,0.0,3.0,0.0,0.0,
AZ,Chandler,16.0,16.0,8.0,3.0,0.0,4.0,0.0,0.0,176581
AZ,Drexel Heights,,,2.0,1.0,0.0,2.0,0.0,0.0,
AZ,Flagstaff,8.0,8.0,8.0,1.0,2.0,3.0,1.0,1.0,52894
AZ,Gilbert,,,5.0,1.0,0.0,3.0,0.0,0.0,
AZ,Green Valley,,,5.0,1.0,2.0,2.0,0.0,0.0,
AZ,Lake Havasu City,8.0,8.0,11.0,6.0,1.0,1.0,2.0,0.0,41938
AZ,Marana,,,3.0,0.0,1.0,1.0,0.0,0.0,
AZ,Maricopa,,,3.0,0.0,2.0,0.0,0.0,0.0,
AZ,Mesa,16.0,16.0,14.0,3.0,3.0,4.0,1.0,1.0,396375
AZ,New River,,,4.0,0.0,0.0,2.0,0.0,0.0,
AZ,Oro Valley,,,4.0,1.0,0.0,0.0,0.0,0.0,
AZ,Peoria,12.0,12.0,3.0,1.0,1.0,0.0,2.0,0.0,1083631
AZ,Phoenix,16.0,16.0,65.0,34.0,10.0,19.0,18.0,1.0,1321045
AZ,Prescott,8.0,8.0,4.0,2.0,3.0,0.0,0.0,0.0,33938
AZ,Safford,6.0,6.0,2.0,4.0,0.0,1.0,0.0,0.0,9232
AZ,Sahuarita,,,9.0,3.0,0.0,2.0,1.0,1.0,
AZ,Scottsdale,16.0,16.0,8.0,0.0,2.0,6.0,0.0,0.0,202705
AZ,Sierra Vista,7.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0,37775
AZ,Sun City,,,4.0,1.0,0.0,0.0,0.0,0.0,
AZ,Sun City West,,,7.0,0.0,0.0,0.0,1.0,0.0,
AZ,Surprise,16.0,16.0,5.0,2.0,1.0,1.0,1.0,0.0,30848
AZ,Tempe,16.0,16.0,8.0,1.0,1.0,1.0,0.0,0.0,158625
AZ,Tucson,11.0,11.0,20.0,10.0,1.0,6.0,6.0,1.0,486699
AZ,Yuma,5.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,77515
CA,Alta Sierra,,,7.0,2.0,1.0,0.0,0.0,0.0,
CA,Bakersfield,8.0,8.0,3.0,2.0,0.0,3.0,0.0,0.0,247057
CA,Carlsbad,10.0,10.0,2.0,0.0,0.0,3.0,0.0,0.0,78247
CA,Cerritos,18.0,18.0,3.0,0.0,1.0,1.0,0.0,0.0,51488
CA,Costa Mesa,10.0,10.0,1.0,2.0,0.0,1.0,1.0,0.0,108724
CA,El Dorado Hills,,,3.0,0.0,0.0,3.0,1.0,0.0,
CA,Elk Grove,,,4.0,1.0,1.0,0.0,0.0,0.0,
CA,Fairfield,6.0,6.0,3.0,1.0,1.0,2.0,0.0,0.0,96178
CA,Fontana,11.0,11.0,3.0,1.0,0.0,2.0,0.0,0.0,128929
CA,Fresno,12.0,12.0,2.0,3.0,2.0,3.0,1.0,0.0,427652
CA,Fullerton,10.0,10.0,5.0,0.0,1.0,0.0,0.0,0.0,126003
CA,Goleta,,,0.0,1.0,1.0,4.0,1.0,0.0,
CA,Grass Valley,5.0,5.0,10.0,2.0,4.0,3.0,2.0,0.0,10922
CA,Hanford,4.0,4.0,4.0,2.0,0.0,0.0,1.0,0.0,41686
CA,Huntington Beach,10.0,10.0,1.0,0.0,2.0,1.0,1.0,0.0,189594
CA,Irvine,10.0,10.0,5.0,1.0,3.0,2.0,1.0,0.0,143072
CA,Long Beach,18.0,18.0,4.0,3.0,1.0,1.0,0.0,0.0,461522
CA,Los Angeles,18.0,18.0,45.0,17.0,16.0,33.0,12.0,2.0,3694820
CA,Modesto,5.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,188856
CA,Monterey,8.0,8.0,2.0,1.0,0.0,2.0,1.0,0.0,29674
CA,Mountain View,11.0,11.0,0.0,0.0,0.0,4.0,1.0,0.0,70708
CA,Napa,4.0,4.0,4.0,2.0,3.0,0.0,0.0,0.0,72585
CA,Nevada City,5.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,3001
CA,Newport Beach,10.0,10.0,3.0,0.0,1.0,2.0,0.0,0.0,70032
CA,Oceanside,10.0,10.0,4.0,0.0,1.0,0.0,0.0,0.0,161029
CA,Orcutt,,,6.0,2.0,0.0,1.0,0.0,0.0,
CA,Palm Springs,12.0,12.0,2.0,2.0,0.0,1.0,0.0,1.0,42807
CA,Porterville,5.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,39615
CA,Rancho Cucamonga,11.0,11.0,3.0,0.0,1.0,1.0,1.0,0.0,127743
CA,Sacramento,9.0,9.0,28.0,16.0,5.0,7.0,6.0,1.0,407018
CA,San Diego,10.0,10.0,21.0,6.0,6.0,12.0,4.0,1.0,1223400
CA,San Jose,11.0,11.0,1.0,1.0,0.0,3.0,0.0,0.0,894943
CA,Santa Ana,10.0,10.0,3.0,1.0,0.0,2.0,0.0,0.0,337977
CA,Santa Barbara,7.0,7.0,2.0,2.0,1.0,2.0,0.0,0.0,92325
CA,Santa Clarita,18.0,18.0,3.0,1.0,1.0,3.0,1.0,0.0,151088
CA,Santa Maria,7.0,7.0,8.0,2.0,1.0,0.0,0.0,1.0,77423
CA,South Lake Tahoe,9.0,9.0,6.0,2.0,1.0,2.0,1.0,0.0,23609
CA,Temecula,12.0,12.0,5.0,0.0,1.0,0.0,1.0,1.0,57716
CA,Thousand Oaks,7.0,7.0,4.0,1.0,2.0,1.0,0.0,0.0,117005
CA,Vacaville,6.0,6.0,1.0,1.0,0.0,2.0,1.0,0.0,88625
CA,Ventura,,,2.0,1.0,0.0,2.0,0.0,1.0,
CA,Visalia,5.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,91565
CO,Arvada,8.0,8.0,5.0,2.0,2.0,3.0,0.0,0.0,993062847
CO,Aurora,7.666666666666667,9.0,15.0,11.0,6.0,5.0,4.0,0.0,236144402490
CO,Boulder,9.0,9.0,7.0,4.0,3.0,8.0,2.0,0.0,94673
CO,Breckenridge,,,3.0,0.0,0.0,1.0,1.0,0.0,
CO,Broomfield,8.5,9.0,4.0,0.0,1.0,3.0,1.0,0.0,2147415239154910
CO,Castle Rock,,,4.0,0.0,0.0,3.0,0.0,0.0,
CO,Centennial,,,5.0,1.0,3.0,6.0,1.0,0.0,
CO,Colorado Springs,9.0,9.0,23.0,7.0,4.0,9.0,4.0,0.0,360890
CO,Commerce City,9.0,9.0,2.0,1.0,0.0,1.0,1.0,0.0,20991
CO,Denver,8.0,8.0,89.0,52.0,20.0,52.0,21.0,10.0,554636
CO,Evans,9.0,9.0,2.0,1.0,1.0,1.0,2.0,0.0,9514
CO,Fort Collins,9.0,9.0,7.0,6.0,2.0,7.0,2.0,1.0,118652
CO,Frisco,,,1.0,1.0,2.0,2.0,0.0,0.0,
CO,Glenwood Springs,3.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,7736
CO,Granby,,,2.0,1.0,0.0,1.0,1.0,0.0,
CO,Grand Junction,4.0,4.0,6.0,5.0,1.0,0.0,0.0,0.0,41986
CO,Greeley,9.0,9.0,7.0,10.0,1.0,4.0,1.0,0.0,76930
CO,Highlands Ranch,,,5.0,1.0,0.0,5.0,1.0,1.0,
CO,Lakewood,7.0,7.0,11.0,0.0,2.0,1.0,0.0,0.0,144126
CO,Lone Tree,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,4873
CO,Longmont,9.0,9.0,0.0,1.0,1.0,4.0,0.0,0.0,7106924
CO,Loveland,9.0,9.0,5.0,2.0,2.0,2.0,1.0,0.0,50608
CO,Parker,,,2.0,0.0,1.0,3.0,0.0,0.0,
CO,Pueblo,6.0,6.0,5.0,3.0,1.0,2.0,1.0,0.0,102121
CO,Steamboat Springs,5.0,5.0,6.0,3.0,2.0,2.0,1.0,0.0,9815
CO,Thornton,9.0,9.0,4.0,0.0,0.0,3.0,1.0,0.0,823840
CO,Westminster,8.0,8.0,5.0,1.0,3.0,0.0,1.0,0.0,5741943521
CO,Windsor,,,0.0,2.0,0.0,3.0,1.0,0.0,
CT,Bristol,5.0,5.0,15.0,1.0,2.0,5.0,3.0,0.0,60062
CT,Cromwell,,,4.0,0.0,0.0,2.0,0.0,0.0,
CT,Farmington,,,2.0,3.0,1.0,1.0,0.0,0.0,
