state,placefp,county,msacmsa,pop100,afact,PlaceName,CntyName,MetroName,Primary
" " ," " ,"County (FIPS)" ,"Metro Area (MSA or CMSA) 2000" ,"Complete Count Pop 2k Census" ,"Portion of place pop in County" ," " ," " ," " ,"Primary County Flag"
01,00124,01067,Non-metro,2987,1.000,Abbeville city,Henry AL,,1
01,00460,01073,"Birmingham, AL",4965,1.000,Adamsville city,Jefferson AL,1000,1
01,00484,01133,Non-metro,723,1.000,Addison town,Winston AL,,1
01,00676,01065,Non-metro,521,1.000,Akron town,Hale AL,,1
01,00820,01117,"Birmingham, AL",22619,1.000,Alabaster city,Shelby AL,1000,1
01,00988,01095,Non-metro,17247,1.000,Albertville city,Marshall AL,,1
01,01132,01123,Non-metro,15008,1.000,Alexander City city,Tallapoosa AL,,1
01,01180,01015,"Anniston, AL",3692,1.000,Alexandria CDP,Calhoun AL,0450,1
01,01228,01107,Non-metro,2567,1.000,Aliceville city,Pickens AL,,1
01,01396,01009,"Birmingham, AL",629,1.000,Allgood town,Blount AL,1000,1
01,01660,01055,"Gadsden, AL",969,0.985,Altoona town,Etowah AL,2880,1
01,01660,01009,"Birmingham, AL",15,0.015,Altoona town,Blount AL,1000,0
01,01708,01039,Non-metro,8794,1.000,Andalusia city,Covington AL,,1
01,01756,01077,"Florence, AL",354,1.000,Anderson town,Lauderdale AL,2650,1
01,01852,01015,"Anniston, AL",24276,1.000,Anniston city,Calhoun AL,0450,1
01,02116,01095,Non-metro,7146,0.996,Arab city,Marshall AL,,1
01,02116,01043,Non-metro,28,0.004,Arab city,Cullman AL,,0
01,02260,01083,"Huntsville, AL",1034,1.000,Ardmore town,Limestone AL,3440,1
01,02320,01115,"Birmingham, AL",1687,0.948,Argo town,St. Clair AL,1000,1
01,02320,01073,"Birmingham, AL",93,0.052,Argo town,Jefferson AL,1000,0
01,02428,01045,"Dothan, AL",772,1.000,Ariton town,Dale AL,2180,1
01,02500,01133,Non-metro,290,1.000,Arley town,Winston AL,,1
01,02836,01069,"Dothan, AL",1853,1.000,Ashford city,Houston AL,2180,1
01,02860,01027,Non-metro,1965,1.000,Ashland city,Clay AL,,1
01,02908,01115,"Birmingham, AL",2260,1.000,Ashville town,St. Clair AL,1000,1
01,02956,01083,"Huntsville, AL",18967,1.000,Athens city,Limestone AL,3440,1
